localidad;código_postal;dirección;precio_gasolina_95;precio_gasóleo_a;precio_gasóleo_b;precio_gasolina_98;rótulo;fecha
CARRION DE CALATRAVA;13150;CARRETERA NACIONAL 430 KM. 317;1305;1179;0;1445;REPSOL;19
CARRION DE CALATRAVA;13150;CARRETERA CARRION A FERNANCABALLERO km 0.5;0;1063;669;0;MONTES NORTE ENERGETICOS, S.L.;19
CARRIZOSA;13329;CR CM-3129, 7 (CM-3129 km 11,6);1305;1179;0;1415;PETRONOR;19
CASTELLAR DE SANTIAGO;13750;CALLE BAILEN, 2;1309;1185;834;0;REPSOL;19
CHILLON;13412;CARRETERA ALMADEN-CHILLON KM. ;1309;1179;795;0;HGOIL;19
CIUDAD REAL;13005;CARRETERA N-430 KM KM. 305,1;1299;1179;0;1419;CEPSA;19
CIUDAD REAL;13004;AVENIDA EUROPA, 45;1020;1006;0;1029;EROSKI;19
CIUDAD REAL;13002;CARRETERA DE PORZUNA KM. ;1020;1006;0;1029;E.LECLERC;19
CIUDAD REAL;13197;CARRETERA CTRA PUERTOLLANO KM 195 KM. ;1259;1139;0;1437;SHELL;19
CIUDAD REAL;13005;CARRETERA NACIONAL 430 KM. 309,900;1279;1165;0;1459;SHELL CARRION;19
CIUDAD REAL;13003;CALLE RONDA DE TOLEDO, 21;1249;1129;0;1427;SHELL;19
CIUDAD REAL;13002;AVENIDA PARQUE DE CABAÑEROS, S/N;1269;1149;0;1409;GALP;19
CIUDAD REAL;13005;CR N-401, 183,6;1305;1189;0;1445;REPSOL;19
CIUDAD REAL;13005;CARRETERA N-430 KM. 304,42;1305;1169;0;1445;REPSOL;19
CIUDAD REAL;13003;RONDA PUERTA DE TOLEDO, 5;1305;1179;0;0;REPSOL;19
CIUDAD REAL;13002;RONDA DE ALARCOS, 21;1305;1179;0;1445;REPSOL;19
CIUDAD REAL;13005;CR CR-514, 0,3;1305;1169;887;1445;REPSOL;19
CIUDAD REAL;13004;CALLE RONDA DE LA MATA, S/N;1305;1169;0;1445;REPSOL;19
CIUDAD REAL;13005;CALLE TORRENUEVA, 1;1199;1059;0;0;PETRONIEVES;19
CIUDAD REAL;13005;PG P.I. LARACHE,PARC.93, S.N.;1315;1199;0;1455;REPSOL;19
CIUDAD REAL;13005;CARRETERA N-430 KM. 309,2;1296;1184;0;1411;CEPSA;19
CORRAL DE CALATRAVA;13190;CARRETERA N-420 KM. 180;1305;1179;0;1445;REPSOL;19
CORTIJOS DE ARRIBA;13427;AVDA. DE LA LOMA, Nº 22;1279;1179;780;0;LA LOMA;19
DAIMIEL;13250;CALLE BODEGUEROS, PARCELA, 48;0;1099;0;0;GRUPO LOGISTICO CODAITRANS;19
DAIMIEL;13250;AVENIDA DE LA ENERGIA, 1;1299;1175;0;1429;REPSOL;19
DAIMIEL;13250;CARRETERA CM.4114 KM. 50;1298;1179;824;0;FERSA COMBUSTIBLES, S.L.;19
DAIMIEL;13250;CALLE HERREROS, 1;0;1099;689;0;COOP. LOS POZOS;19
DAIMIEL;13250;CALLE TIBURCIO, 98;1305;1189;0;1425;REPSOL;19
DAIMIEL;13250;CARRETERA NACIONAL 430 KM. 269,9;1305;1179;0;0;REPSOL;19
DAIMIEL;13250;NACIONAL 420 km 236;1329;1209;0;0;ESTACION DE SERVICIOS DAIMIEL S.L.;19
DAIMIEL;13250;CARRETERA N-420 KM KM. 231;1239;1099;0;0;WETROAD;19
FUENCALIENTE;13130;CARRETERA N-420 KM. 103,3;1309;1184;0;0;CEPSA;19
FUENTE EL FRESNO;13680;AVENIDA DE LA PROVINCIA, 78;1269;1149;709;0;CARBURANTES QUEVEDO;19
GRANATULA DE CALATRAVA;13360;CALLE ALMAGRO, 3;0;1012;700;0;SOCIEDAD COOPERATIVA AGRARIA EL SANTO CRISTO S. COOP. DE C-LM;19
HERENCIA;13640;420 km 275;1299;1179;814;1429;PETRONOR;19
HERENCIA;13640;AUTOVIA A-4 KM. 153,350;1319;1195;0;1419;REPSOL;19
HORCAJO DE LOS MONTES;13110;CARRETERA CIUDAD REAL KM. 49,200;1309;1179;849;1439;REPSOL;19
LLANOS DEL CAUDILLO;13220;POZOS S/N;0;0;685;0;COOP. LOS LLANOS;19
LUCIANA;13108;CARRETERA N-430, KM. 268,6;1279;1169;799;0;REPSOL;19
MALAGON;13420;CALLE MADRID, 18;1185;1063;0;0;CARBURANTES SEAL;19
MALAGON;13420;AVENIDA FUNDADORES COOPERATIVA, 69;1195;1063;669;0;MONTES NORTE ENERGETICOS, S.L.;19
MALAGON;13420;CALLE CERVANTES, 23;1245;1126;736;1036;CEPSA;19
MALAGON;13429;CR N-401, 165;1305;1189;0;1429;REPSOL;19
MANZANARES;13200;AUTOVIA A-4 KM. 167;1319;1195;0;0;REPSOL;19
MANZANARES;13200;AUTOVIA A-4 KM. 162;1319;1195;0;0;REPSOL;19
MANZANARES;13200;CARRETERA N-4 KM. 171,1;1319;1195;0;1419;REPSOL;19
MANZANARES;13200;CALLE CTRA LA SOLANA, 56;1305;1179;0;1425;REPSOL;19
MANZANARES;13200;CL PASEO CRISTOBAL COLON S.N.;1299;1185;0;0;CAMPSA;19
MANZANARES;13200;CARRETERA CRTA.CR-141 KM 3,70 KM. 3,70;1299;1185;823;1419;REPSOL;19
MANZANARES;13200;AUTOVIA DE ANDALUCIA KM. 173;1315;1195;809;1415;REPSOL;19
MANZANARES;13200;CARRETERA ANTIGUA N-430 ESQ. CTRA. VILLARRUIBA KM. S/N;1239;1129;0;1359;SARAS ENERGIA ;19
MANZANARES;13200;CALLE INDUSTRIAL D, 3;1259;1139;689;0;JESÚS DEL PERDÓN BODEGAS YUNTERO S. COOP. DE C-LM;19
MANZANARES;13200;PLAZA DEL GRAN TEATRO, S/N;1296;0;0;0;CEPSA;19
MEMBRILLA;13230;AUTOVIA CARRETERA GENERAL DE ANDALUCIA KM. 178,800;1315;1183;0;1043;CEPSA;19
MEMBRILLA;13230;CARRETERA N-430 KM. 366,275;1279;1174;796;1394;CEPSA;19
MEMBRILLA;13230;N-430 km 367,1;1279;1155;814;1399;SARAS;19
MEMBRILLA;13230;CARRETERA NACIONAL 430 KM 368 KM. 368;1309;1199;823;1419;REPSOL;19
MEMBRILLA;13230;CARRETERA NACIONAL 430 KM. 371,100;1229;1105;0;0;GRUPO CACHO;19
MIGUELTURRA;13170;CARRETERA VALDEPEÑAS KM. 12;1199;1059;0;0;PETROGOOD;19
MIGUELTURRA;13170;CARRETERA CM-4127 KM. 2,350;1299;1184;0;1414;CEPSA;19
MIGUELTURRA;13170;CARRETERA CTRA VALDEPEÑAS-CIUDAD REAL KM. 4700;1299;1184;0;1414;CEPSA;19
MONTIEL;13326;CARRERA VILLANUEVA DE LOS INFANTES, S/N;1021;1069;655;0;CASTILLO DE MONTIEL;19
MONTIEL;13326;CARRETERA CM 3127 km 12.600;1199;1099;7;0;EE.SS VALLE PIQUERAS;19
MORAL DE CALATRAVA;13350;CARRETERA CM-412 KM. 69,92;1305;1179;0;1425;CAMPSA;19
PEDRO MUÑOZ;13620;AVENIDA DE LA CONSTITUCION, 46;1305;1189;0;1445;REPSOL;19
PEDRO MUÑOZ;13620;AVENIDA JUAN CARLOS I, 99;1298;1177;812;0;BP OIL ESPAÑA;19
PEDRO MUÑOZ;13620;CARRETERA PEDRO MUÑOZ A SOCUELLAMOS KM. 1;0;1011;650;0;SUMNISTROS AGRICOLAS DE PEDRO MUÑOZ S. COOP. DE C-LM;19
PEDRO MUÑOZ;13620;AVENIDA CONSTITUCION, 20;1309;1184;0;0;CEPSA;19
PIEDRABUENA;13100;CARRETERA 7211 KM. 0,200;1209;1079;0;0;GP ENERGIA;19
PIEDRABUENA;13100;CARRETERA NACIONAL 430 KM. 219,7;1279;1169;0;0;CEPSA;19
PORZUNA;13120;CALLE TOLEDO,, 50;1299;1189;0;1439;REPSOL;19
POZUELO DE CALATRAVA;13179;CARRETERA CM-412 KM. 11;1299;1179;690;1038;CEPSA;19
PUEBLA DE DON RODRIGO;13109;CALLE CUATRO ESQUINAS ESQUINA LUIS SEVILLA, S/N;0;1063;669;0;MONTES NORTE ENERGETICOS, S.L.;19
PUEBLA DE DON RODRIGO;13109;CL AVENIDA CASTILLA-LA MANCHA, 1 (N-430 km 230);1299;1189;0;1419;CAMPSA;19
PUERTO LAPICE;13650;CR N-4, 134,8;1319;1195;0;1419;REPSOL;19
PUERTO LAPICE;13650;AUTOVIA N-IV KM. 140,7;1299;1149;0;1419;GALP;19
PUERTO LAPICE;13650;AUTOVIA N-IV KM. 140,5;1299;1149;0;1419;GALP;19
PUERTOLLANO;13500;CARRETERA NACIONAL 420 KM. 160;1304;1134;0;0;CARREFOUR;19
PUERTOLLANO;13500;CALLE ASDRUBAL, 68;1305;1189;0;1445;REPSOL;19
PUERTOLLANO;13500;CARRETERA N420 KM. 160,500;1305;1189;0;1445;REPSOL;19
PUERTOLLANO;13500;CARRETERA CR-503 KM. 3,2;1305;1189;0;1445;REPSOL;19
PUERTOLLANO;13500;CR N-420, 160;1305;1189;0;1445;REPSOL;19
PUERTOLLANO;13500;CARRETERA VARIANTE PUERTOLLANO-REPSOL KM. 11;0;1185;0;0;REPSOL;19
PUERTOLLANO;13500;AVENIDA ANDALUCIA, S/N;1199;1039;0;1259;E.LECLERC;19
PUERTOLLANO;13500;CARRETERA ALMODOVAR KM. 1,500;1219;1069;0;0;CARBURANTES BLUE;19
RUIDERA;13249;AVENIDA CASTILLA LA MANCHA, 59;1299;1179;0;0;REPSOL;19
SACERUELA;13414;CALLE ARENAL, S/N;1299;1189;0;1419;REPSOL;19
SANTA CRUZ DE MUDELA;13730;CARRETERA N 4 KM. 216,9;1319;1195;0;1419;REPSOL;19
SANTA CRUZ DE MUDELA;13730;CARRETERA N- 4 KM. 216,9;1319;1195;0;0;REPSOL;19
SANTA CRUZ DE MUDELA;13730;AUTOVIA ANDALUCIA KM. 222,5;1315;1183;0;1043;CEPSA;19
SANTA CRUZ DE MUDELA;13730;AUTOVIA A-4 KM. 217,350;1315;1195;0;0;GALP;19
SOCUELLAMOS;13630;CALLE CAMPO DE CRIPTANA, 29;0;1077;0;0;TRANSPORTES FELIX E HIJOS, S.L.;19
SOCUELLAMOS;13630;CARRETERA N-310 KM. 105;1299;1189;0;1405;GALP;19
SOCUELLAMOS;13630;POLIGONO EL LLANO, CALLE A, PARCELA, 134;0;1087;656;0;OLIVARERA DE SOCUELLAMOS, S.COOP. DE C-LM;19
SOCUELLAMOS;13630;CALLE PASEO DE LOS MARTIRES, 58;1305;1179;0;1445;CAMPSA;19
SOCUELLAMOS;13630;CR CR-100, 0,9;1305;1179;0;1445;CAMPSA;19
SOCUELLAMOS;13630;CALLE MANIGUA, 4;1303;1184;832;0;CEPSA;19
SOCUELLAMOS;13630;CM-3102 km 23,1;1313;1184;832;0;CEPSA;19
SOLANA (LA);13240;CARRETERA MANZANARES KM. S/N;1279;1155;699;0;GRUPO CACHO;19
SOLANA (LA);13240;CR N-430, 307,3;1305;1179;0;1425;CAMPSA;19
SOLANA (LA);13240;CARRETERA L-603 KM. 24,8;1305;1179;0;1425;REPSOL;19
SOLANA (LA);13240;POLIGONO MAQUINA DE VAPOR, 1;0;1104;0;0;GALANES OIL;19
TERRINCHES;13341;AVENIDA CONSTITUCION, S/N;1195;1007;675;0;E.S.STO.DOMINGO DE GUZMAN;19
TOMELLOSO;13700;CALLE CAMPO, 117;1305;1169;0;1425;REPSOL;19
TOMELLOSO;13700;CALLE SOCUELLAMOS, 92;1305;1169;0;1425;REPSOL;19
TOMELLOSO;13700;CARRETERA CR-122 KM. 26,100;1305;1159;0;1425;REPSOL COMERCIAL;19
TOMELLOSO;13700;VEREDA SOCUELLAMOS, S/N;1274;1144;709;1394;SERTYMAN;19
TOMELLOSO;13700;PASEO SAN ISIDRO, 14;1299;1164;0;1413;CEPSA;19
TOMELLOSO;13700;C/ ZURBARAN. Nº 19;1289;1159;759;0;REPSOL - TOMELLOSO;19
TOMELLOSO;13700;AVENIDA JUAN CARLOS I, 1;1199;1069;0;0;PUNTO AZUL GASOLINERA 24 HORAS;19
TOMELLOSO;13700;CM-400 km 129;1299;1164;796;0;CEPSA;19
TOMELLOSO;13700;CARRETERA N-310 (ARGAMASILLA DE ALBA) KM. 0,800;0;1089;0;0;COTRATO;19
TOMELLOSO;13700;CALLE CAMPO, 146;1219;1099;0;0;EASY FUEL;19
TOMELLOSO;13700;CARRETERA N-310 KM. 93;0;0;0;1394;EROSKI;19
TORRALBA DE CALATRAVA;13160;CALLE DEHESA DEL CAMPO, 5;1195;1074;0;0;ENERGIAS AF;19
TORRALBA DE CALATRAVA;13160;AUTOVIA A-43 KM. 290;1299;1184;0;1414;CEPSA;19
TORRE DE JUAN ABAD;13344;CR CR-614, 25;1305;1189;0;1445;REPSOL;19
TORRENUEVA;13740;CARRETERA VALDEPEÑAS 139 KM. 139;1259;1139;799;1399;SEYBE;19
VALDEPEÑAS;13300;CALLE SUIZA, 1;0;1049;0;0;ENTRECAMINOS;19
VALDEPEÑAS;13300;AVENIDA DEL VINO, SN;1239;1079;0;1309;SIMPLY;19
VALDEPEÑAS;13300;AVENIDA DE LOS ESTUDIANTES, 70;1217;1067;0;0;PETROLOWCOST;19
VALDEPEÑAS;13300;AUTOVIA A-4 KM. 198,7;1335;1175;0;1449;CEPSA;19
VALDEPEÑAS;13300;A-4 km 198,7;1335;1175;0;1449;CEPSA;19
VALDEPEÑAS;13300;CARRETERA 601 KM. 0,700;1279;1139;0;1339;E.S LAGUNA;19
VALDEPEÑAS;13300;CR CM-412, 84,8;1305;1189;0;1445;REPSOL;19
CONSOLACION;13310;AUTOVIA ANDALUCIA KM. 185;1319;1195;853;1419;REPSOL;19
VALDEPEÑAS;13300;CL SEIS DE JUNIO, 247;1309;1185;829;1449;REPSOL;19
VALDEPEÑAS;13300;CARRETERA N - IV KM. 210;1289;1149;0;0;ESAP LA PARÁ ROCIERA;19
VALDEPEÑAS;13300;CTRA. N-IV, P.K. 210;1309;1169;0;1419;GALP;19
VALDEPEÑAS;13300;AUTOVIA  A-4 km 191,536;1285;1164;0;1415;SHELL;19
VALDEPEÑAS;13300;AVENIDA DEL SUR, S/N;1269;1109;0;1409;SARAS ENERGIA ;19
VALDEPEÑAS;13300;AUTOVIA A-4 KM. 193,6;1321;1189;888;1436;CEPSA;19
VILLAHERMOSA;13332;AVENIDA CASTILLA LA MANCHA, 11;1199;1099;699;0;CHM;19
VILLANUEVA DE LA FUENTE;13330;CM 412 km 154.8;1199;1099;789;0;LIBRE;19
VILLANUEVA LOS INFANTES;13320;CALLE PIOXII, 93;1029;1017;820;1041;REPSOL;19
VILLANUEVA LOS INFANTES;13320;CALLE GUARDIA CIVIL, S/N;1017;1004;650;0;NTRA. SRA. ANTIGUA;19
VILLANUEVA LOS INFANTES;13320;CR CR-604, 1,4;1305;1179;0;1415;CAMPSA;19
VILLANUEVA DE SAN CARLOS;13379;CR CR-504, 18,2;1305;1179;808;0;PETRONOR;19
VILLARRUBIA DE LOS OJOS;13670;CARRETERA CARRETERA DE FUENTE EL FRESNO KM 15 KM. 15;1289;1159;709;0;AVIA;19
VILLARRUBIA DE LOS OJOS;13670;PASEO DEL CORDON 104 (CM 4120 km 16,700);1289;1159;709;1429;VILLA RUBEUM,S.L.;19
VILLARRUBIA DE LOS OJOS;13670;CARRETERA CR-201 KM. 17;0;1009;689;0;EL RUBIAL SOC. COOP.;19
VILLARTA DE SAN JUAN;13210;AUTOVIA A-4 KM. 145,330;1299;1169;0;1419;TARAY;19
VILLARTA DE SAN JUAN;13210;CERVANTES, 96;0;1007;65;0;NINGUNO;19
VILLARTA DE SAN JUAN;13210;CALLE CERVANTES, 104;1305;1189;0;1429;REPSOL;19
VISO DEL MARQUES;13770;CARRETERA CM-4111 KM. 64;1305;1179;0;0;REPSOL;19
VISO DEL MARQUES;13770;AVENIDA DE BURJASOT, S/N;0;1125;669;0;VIRGEN DEL VALLE;19
ABENOJAR;13180;CTRA.CM-4.110 km 26,000;1297;1177;796;1377;GALP;16
AGUDO;13410;CR N-502, 32,8;1259;1149;0;0;PETRONOR;16
ALAMILLO;13413;AVDA. LIBERTAD, S/N (CM-4202 km 8);0;1169;0;0;MARIO;16
ALCAZAR DE SAN JUAN;13600;CARRETERA N-420 KM. 284,227;1264;1109;0;1339;CARREFOUR;16
ALCAZAR DE SAN JUAN;13600;CL AVENIDA DE HERENCIA S.N.;1299;1179;0;0;CAMPSA;16
ALCAZAR DE SAN JUAN;13600;CR N-420, 284,7;1299;1179;814;1369;REPSOL;16
ALCAZAR DE SAN JUAN;13600;VÍA PG RESID ALCES, 1;1239;1099;0;0;MACMAOIL;16
CINCO CASAS;13720;CARRETERA ARGAMASILLA DE ALBA-CINCO CASAS KM. 17;1219;1099;689;0;CERFAS-OIL;16
ALCAZAR DE SAN JUAN;13600;CALLE ALAMEDA, 5;1188;1038;0;0;U.S. LA LUNA;16
ALCAZAR DE SAN JUAN;13600;CTRA. N-420 km 286.6;1305;1179;804;1385;CEPSA;16
ALAMEDA DE CERVERA;13690;ESTRADA CM-42, 106/108;1309;1184;804;0;CEPSA;16
ALCOLEA DE CALATRAVA;13107;CARRETERA N-430 KM. 290;1259;1159;0;0;LIBRE;16
ALCUBILLAS;13391;CALLE REAL, S/N;1289;1169;799;0;CEPSA;16
ALDEA DEL REY;13380;CARRETERA ARGAMASILLA-ALMURADIEL KM. 23,2;1279;1169;0;1419;REPSOL;16
ALMADEN;13400;AVENIDA RAMON Y CAJAL, 61;1299;1174;796;1414;CEPSA;16
ALMADEN;13400;POLIGONO POZO DE LAS NIEVES, 12;1309;1179;0;1415;HGOIL;16
ALMAGRO;13270;CL RONDA SANTO DOMINGO, 3;1299;1179;0;0;REPSOL;16
ALMAGRO;13270;CALLE EJIDO DE SAN JUAN, 0;1299;1184;0;1414;CEPSA;16
ALMEDINA;13328;CARRETERA PUEBLA DEL PRINCIPE KM. 1;1179;1002;659;0;E.S. SAN GREGORIO;16
ALMODOVAR DEL CAMPO;13580;CARRETERA CM 4110 KM. 6;1305;1179;0;1385;REPSOL;16
ALMURADIEL;13760;AUTOVIA N-IV KM. 232;1315;1195;844;1355;REPSOL;16
ALMURADIEL;13760;AUTOVIA N-4 KM. 232;1315;1195;844;1355;REPSOL;16
ARENALES DE SAN GREGORIO;13610;POLIGONO RIO CORCOLES PARCELA 1.1, S/N;1319;1199;0;0;LOPEZ SIERRA EE.SS;16
ARENAS DE SAN JUAN;13679;N-420 km 252,1;1319;1199;0;0;REPSOL;16
ARGAMASILLA DE ALBA;13710;CARRETERA NACIONAL 310, KM. 82,500;1299;1179;0;1349;REPSOL;16
ARGAMASILLA DE ALBA;13710;CR N-310, 85,1 (N-310 km 85,18);1299;1179;814;1349;REPSOL;16
ARGAMASILLA DE CALATRAVA;13440;CARRETERA CR-506 KM. 3,300;1309;1179;0;1389;REPSOL;16
ARGAMASILLA DE CALATRAVA;13440;POLIGONO MANZANARES, 6;1249;1089;0;0;GASOLEOSJUCO;16
BOLAÑOS DE CALATRAVA;13260;CARRETERA CM 4124 KM. 25,7;1229;1129;0;0;E.S.MAZ;16
BOLAÑOS DE CALATRAVA;13260;CARDENAL CISNEROS, S/N;1229;1109;665;1429;CARBURANTES BOLAÑOS S.L.;16
BOLAÑOS DE CALATRAVA;13260;CALLE CTRA. C-417, PK. KM 17,, 17;1269;1159;0;1439;SARAS;16
BOLAÑOS DE CALATRAVA;13260;CARRETERA DAIMIEL KM. 23;1305;1186;809;0;CEPSA;16
BRAZATORTAS;13450;CR N-420 141,9;1305;1179;0;1369;REPSOL;16
BRAZATORTAS;13450;CARRETERA NACIONAL 420 KM. 143,700;1299;1169;0;1439;GALP LA JUNQUERA;16
BRAZATORTAS;13450;CARRETERA CABEZARRUBIAS KM. 1;1239;1109;699;0;UNIDAD DE SERVICIO;16
CALZADA DE CALATRAVA;13370;CARRETERA C-410 km 31.092;1299;1169;739;1389;P G E HIJOS;16
CAMPO DE CRIPTANA;13610;CARRETERA N-420 KM. 295;1299;1179;720;1359;COMBUSTIBLES CRIPTANA,SL;16
CAMPO DE CRIPTANA;13610;CARRETERA NACIONAL 420 KM. 292,700;1299;1179;0;1359;GALP DISTRIBUCION OIL ESPAÑA, S.A.U.;16
CAMPO DE CRIPTANA;13610;CR N-420, 296;1299;1179;0;0;REPSOL;16
CAMPO DE CRIPTANA;13610;CALLE MOTA, 2;0;1059;0;0;TRAVESA;16
CAMPO DE CRIPTANA;13610;CONCEPCION, 135 (CTRA. N-420);0;1069;649;0;BODEGAS SIMBOLO, SDAD. COOP. DE C-LM NTRA. SRA. DE CRIPTANA;16
CAMPO DE CRIPTANA;13610;AVENIDA DE LA HISPANIDAD, 10;1305;1169;0;1365;PETRONOR;16
CARRION DE CALATRAVA;13150;CARRETERA CARRION A FERNANCABALLERO km 0.5;0;1063;669;0;MONTES NORTE ENERGETICOS, S.L.;16
CARRION DE CALATRAVA;13150;CARRETERA NACIONAL 430 KM. 317;1305;1179;0;1385;REPSOL;16
CARRIZOSA;13329;CR CM-3129, 7 (CM-3129 km 11,6);1295;1169;814;1345;PETRONOR;16
CASTELLAR DE SANTIAGO;13750;CALLE BAILEN, 2;1309;1195;824;0;REPSOL;16
CHILLON;13412;CARRETERA ALMADEN-CHILLON KM. ;1309;1179;795;0;HGOIL;16
CIUDAD REAL;13005;PG P.I. LARACHE,PARC.93, S.N.;1309;1189;0;1449;REPSOL;16
CIUDAD REAL;13005;CARRETERA N-430 KM. 304,42;1299;1179;0;1379;REPSOL;16
CIUDAD REAL;13005;CR CR-514, 0,3;1299;1179;0;1379;REPSOL;16
CIUDAD REAL;13003;RONDA PUERTA DE TOLEDO, 5;1299;1179;0;0;REPSOL;16
CIUDAD REAL;13004;CALLE RONDA DE LA MATA, S/N;1299;1179;0;1379;REPSOL;16
CIUDAD REAL;13002;RONDA DE ALARCOS, 21;1299;1179;0;1379;REPSOL;16
CIUDAD REAL;13005;CR N-401, 183,6;1299;1179;0;1379;REPSOL;16
CIUDAD REAL;13004;AVENIDA EUROPA, 45;1020;1006;0;1029;EROSKI;16
CIUDAD REAL;13005;CALLE TORRENUEVA, 1;1199;1059;0;0;PETRONIEVES;16
CIUDAD REAL;13005;CARRETERA N-430 KM. 309,2;1299;1184;0;1414;CEPSA;16
CIUDAD REAL;13005;CARRETERA N-430 KM KM. 305,1;1269;1169;0;1379;CEPSA;16
CIUDAD REAL;13002;CARRETERA DE PORZUNA KM. ;1020;1006;0;1029;E.LECLERC;16
CIUDAD REAL;13197;CARRETERA CTRA PUERTOLLANO KM 195 KM. ;1259;1139;0;1437;SHELL;16
CIUDAD REAL;13005;CARRETERA NACIONAL 430 KM. 309,900;1279;1165;0;1459;SHELL CARRION;16
CIUDAD REAL;13003;CALLE RONDA DE TOLEDO, 21;1249;1129;0;1427;SHELL;16
CIUDAD REAL;13002;AVENIDA PARQUE DE CABAÑEROS, S/N;1269;1149;0;1409;GALP;16
CORRAL DE CALATRAVA;13190;CARRETERA N-420 KM. 180;1295;1179;0;1375;REPSOL;16
CORTIJOS DE ARRIBA;13427;AVDA. DE LA LOMA, Nº 22;1279;1169;780;0;LA LOMA;16
DAIMIEL;13250;CARRETERA NACIONAL 430 KM. 269,9;1299;1189;824;0;REPSOL;16
DAIMIEL;13250;CALLE TIBURCIO, 98;1299;1199;824;1359;REPSOL;16
DAIMIEL;13250;NACIONAL 420 km 236;1329;1209;0;0;ESTACION DE SERVICIOS DAIMIEL S.L.;16
DAIMIEL;13250;CARRETERA CM.4114 KM. 50;1298;1189;824;0;FERSA COMBUSTIBLES, S.L.;16
DAIMIEL;13250;CALLE BODEGUEROS, PARCELA, 48;0;1099;0;0;GRUPO LOGISTICO CODAITRANS;16
DAIMIEL;13250;CALLE CARRETEROS, 1;0;1059;0;0;GRUPO TRANSLOGISTICA;16
DAIMIEL;13250;CALLE HERREROS, 1;0;1065;665;0;COOP. LOS POZOS;16
DAIMIEL;13250;AVENIDA DE LA ENERGIA, 1;1299;1199;0;1409;REPSOL;16
DAIMIEL;13250;CARRETERA N-420 KM KM. 231;1239;1099;0;0;WETROAD;16
FUENCALIENTE;13130;CARRETERA N-420 KM. 103,3;1306;1184;0;0;CEPSA;16
FUENTE EL FRESNO;13680;AVENIDA DE LA PROVINCIA, 78;1269;1149;709;0;CARBURANTES QUEVEDO;16
GRANATULA DE CALATRAVA;13360;CALLE ALMAGRO, 3;0;1012;700;0;SOCIEDAD COOPERATIVA AGRARIA EL SANTO CRISTO S. COOP. DE C-LM;16
HERENCIA;13640;420 km 275;1299;1179;814;1429;PETRONOR;16
HERENCIA;13640;AUTOVIA A-4 KM. 153,350;1315;1195;0;1355;REPSOL;16
HORCAJO DE LOS MONTES;13110;CARRETERA CIUDAD REAL KM. 49,200;1309;1179;849;1439;REPSOL;16
LLANOS DEL CAUDILLO;13220;POZOS S/N;0;0;670;0;COOP. LOS LLANOS;16
LUCIANA;13108;CARRETERA N-430, KM. 268,6;1279;1169;799;0;REPSOL;16
MALAGON;13420;AVENIDA FUNDADORES COOPERATIVA, 69;1185;1063;669;0;MONTES NORTE ENERGETICOS, S.L.;16
MALAGON;13420;CALLE MADRID, 18;1016;1048;0;0;CARBURANTES SEAL;16
MALAGON;13420;CALLE CERVANTES, 23;1233;1119;736;1348;CEPSA;16
MALAGON;13429;CR N-401, 165;1279;1189;813;1343;REPSOL;16
MANZANARES;13200;AUTOVIA A-4 KM. 162;1315;1195;815;0;REPSOL;16
MANZANARES;13200;CALLE CTRA LA SOLANA, 56;1285;1179;814;1345;REPSOL;16
MANZANARES;13200;CARRETERA N-4 KM. 171,1;1315;1195;0;1355;REPSOL;16
