localidad;código_postal;dirección;precio_gasolina_95;precio_gasóleo_a;precio_gasóleo_b;precio_gasolina_98;rótulo;fecha
MANZANARES;13200;AUTOVIA A-4 KM. 167;1315;1195;831;0;REPSOL;16
MANZANARES;13200;CL PASEO CRISTOBAL COLON S.N.;1285;1179;0;0;CAMPSA;16
MANZANARES;13200;AUTOVIA DE ANDALUCIA KM. 173;1305;1179;809;1405;REPSOL;16
MANZANARES;13200;CALLE INDUSTRIAL D, 3;1249;1129;689;0;JESÚS DEL PERDÓN BODEGAS YUNTERO S. COOP. DE C-LM;16
MANZANARES;13200;CARRETERA CRTA.CR-141 KM 3,70 KM. 3,70;1289;1179;804;1349;REPSOL;16
MANZANARES;13200;CARRETERA ANTIGUA N-430 ESQ. CTRA. VILLARRUIBA KM. S/N;1289;1169;0;1409;SARAS ENERGIA ;16
MANZANARES;13200;PLAZA DEL GRAN TEATRO, S/N;1299;0;0;0;CEPSA;16
MEMBRILLA;13230;N-430 km 367,1;1279;1159;814;1399;SARAS;16
MEMBRILLA;13230;CARRETERA NACIONAL 430 KM 368 KM. 368;1299;1179;804;1349;REPSOL;16
MEMBRILLA;13230;CARRETERA N-430 KM. 366,275;1279;1174;796;1394;CEPSA;16
MEMBRILLA;13230;AUTOVIA CARRETERA GENERAL DE ANDALUCIA KM. 178,800;1319;1183;0;1434;CEPSA;16
MEMBRILLA;13230;CARRETERA NACIONAL 430 KM. 371,100;1225;1099;0;0;GRUPO CACHO;16
MIGUELTURRA;13170;CARRETERA VALDEPEÑAS KM. 12;1199;1059;0;0;PETROGOOD;16
MIGUELTURRA;13170;CARRETERA CTRA VALDEPEÑAS-CIUDAD REAL KM. 4700;1299;1184;0;1414;CEPSA;16
MIGUELTURRA;13170;CARRETERA CM-4127 KM. 2,350;1279;1174;0;1394;CEPSA;16
MONTIEL;13326;CARRETERA CM 3127 km 12.600;1195;1079;700;0;EE.SS VALLE PIQUERAS;16
MORAL DE CALATRAVA;13350;CARRETERA CM-412 KM. 69,92;1299;1179;824;1359;CAMPSA;16
PEDRO MUÑOZ;13620;AVENIDA DE LA CONSTITUCION, 46;1299;1179;814;1379;REPSOL;16
PEDRO MUÑOZ;13620;AVENIDA CONSTITUCION, 20;1303;1184;0;0;CEPSA;16
PEDRO MUÑOZ;13620;AVENIDA JUAN CARLOS I, 99;1297;1156;802;0;BP OIL ESPAÑA;16
PEDRO MUÑOZ;13620;CARRETERA PEDRO MUÑOZ A SOCUELLAMOS KM. 1;0;1011;640;0;SUMNISTROS AGRICOLAS DE PEDRO MUÑOZ S. COOP. DE C-LM;16
PIEDRABUENA;13100;CARRETERA 7211 KM. 0,200;1209;1079;0;0;GP ENERGIA;16
PIEDRABUENA;13100;CARRETERA NACIONAL 430 KM. 219,7;1279;1169;0;0;CEPSA;16
PORZUNA;13120;CALLE TOLEDO,, 50;1299;1179;814;1379;REPSOL;16
POZUELO DE CALATRAVA;13179;CARRETERA CM-412 KM. 11;1299;1179;690;1038;CEPSA;16
PUEBLA DE DON RODRIGO;13109;CL AVENIDA CASTILLA-LA MANCHA, 1 (N-430 km 230);1299;1189;818;1359;CAMPSA;16
PUEBLA DE DON RODRIGO;13109;CALLE CUATRO ESQUINAS ESQUINA LUIS SEVILLA, S/N;0;1063;669;0;MONTES NORTE ENERGETICOS, S.L.;16
PUERTO LAPICE;13650;AUTOVIA N-IV KM. 140,7;1309;1179;0;1429;GALP;16
PUERTO LAPICE;13650;AUTOVIA N-IV KM. 140,5;1309;1179;0;1429;GALP;16
PUERTO LAPICE;13650;CR N-4, 134,8;1315;1195;0;1355;REPSOL;16
PUERTOLLANO;13500;CARRETERA N420 KM. 160,500;1309;1179;0;1389;REPSOL;16
PUERTOLLANO;13500;CALLE ASDRUBAL, 68;1309;1179;0;1389;REPSOL;16
PUERTOLLANO;13500;CARRETERA CR-503 KM. 3,2;1309;1179;0;1389;REPSOL;16
PUERTOLLANO;13500;CR N-420, 160;1309;1179;0;1389;REPSOL;16
PUERTOLLANO;13500;AVENIDA ANDALUCIA, S/N;1199;1039;0;1259;E.LECLERC;16
PUERTOLLANO;13500;CARRETERA NACIONAL 420 KM. 160;1284;1124;0;0;CARREFOUR;16
PUERTOLLANO;13500;CARRETERA VARIANTE PUERTOLLANO-REPSOL KM. 11;0;1179;0;0;REPSOL;16
PUERTOLLANO;13500;CARRETERA ALMODOVAR KM. 1,500;1219;1069;0;0;CARBURANTES BLUE;16
ROBLEDO (EL);13114;CR CR-722, 11,7;1269;1149;789;1389;PETRONOR;16
RUIDERA;13249;AVENIDA CASTILLA LA MANCHA, 59;1299;1179;0;0;REPSOL;16
SACERUELA;13414;CALLE ARENAL, S/N;1299;1189;812;1359;REPSOL;16
SANTA CRUZ DE MUDELA;13730;CARRETERA N- 4 KM. 216,9;1315;1195;844;0;REPSOL;16
SANTA CRUZ DE MUDELA;13730;CARRETERA N 4 KM. 216,9;1315;1195;844;1355;REPSOL;16
SANTA CRUZ DE MUDELA;13730;AUTOVIA ANDALUCIA KM. 222,5;1319;1183;0;1434;CEPSA;16
SANTA CRUZ DE MUDELA;13730;AUTOVIA A-4 KM. 217,350;1315;1195;0;0;GALP;16
SOCUELLAMOS;13630;CM-3102 km 23,1;1304;1184;824;0;CEPSA;16
SOCUELLAMOS;13630;CALLE PASEO DE LOS MARTIRES, 58;1299;1179;834;1379;CAMPSA;16
SOCUELLAMOS;13630;CR CR-100, 0,9;1299;1179;834;1379;CAMPSA;16
SOCUELLAMOS;13630;CARRETERA N-310 KM. 105;1299;1179;0;1405;GALP;16
SOCUELLAMOS;13630;POLIGONO EL LLANO, CALLE A, PARCELA, 134;0;1087;656;0;OLIVARERA DE SOCUELLAMOS, S.COOP. DE C-LM;16
SOCUELLAMOS;13630;CALLE CAMPO DE CRIPTANA, 29;0;1077;0;0;TRANSPORTES FELIX E HIJOS, S.L.;16
SOCUELLAMOS;13630;CALLE MANIGUA, 4;1299;1174;815;0;CEPSA;16
SOLANA (LA);13240;CR N-430, 307,3;1299;1179;824;1359;CAMPSA;16
SOLANA (LA);13240;CARRETERA L-603 KM. 24,8;1299;1179;824;1359;REPSOL;16
SOLANA (LA);13240;CARRETERA MANZANARES KM. S/N;1275;1149;699;0;GRUPO CACHO;16
SOLANA (LA);13240;POLIGONO MAQUINA DE VAPOR, 1;0;1104;0;0;GALANES OIL;16
TERRINCHES;13341;AVENIDA CONSTITUCION, S/N;1017;1004;650;0;E.S.STO.DOMINGO DE GUZMAN;16
TOMELLOSO;13700;PASEO SAN ISIDRO, 14;1283;1154;0;1398;CEPSA;16
TOMELLOSO;13700;CARRETERA N-310 (ARGAMASILLA DE ALBA) KM. 0,800;0;1089;0;0;COTRATO;16
TOMELLOSO;13700;CALLE CAMPO, 146;1199;1079;0;0;EASY FUEL;16
TOMELLOSO;13700;AVENIDA JUAN CARLOS I, 1;1199;1069;0;0;PUNTO AZUL GASOLINERA 24 HORAS;16
TOMELLOSO;13700;VEREDA SOCUELLAMOS, S/N;1264;1139;709;1384;SERTYMAN;16
TOMELLOSO;13700;CM-400 km 129;1299;1164;796;0;CEPSA;16
TOMELLOSO;13700;C/ ZURBARAN. Nº 19;1279;1149;749;0;REPSOL - TOMELLOSO;16
TOMELLOSO;13700;CALLE CAMPO, 117;1299;1179;0;1359;REPSOL;16
TOMELLOSO;13700;CALLE SOCUELLAMOS, 92;1299;1179;0;1359;REPSOL;16
TOMELLOSO;13700;CARRETERA CR-122 KM. 26,100;1299;1179;0;1359;REPSOL COMERCIAL;16
TOMELLOSO;13700;CARRETERA N-310 KM. 93;1199;1069;0;1384;EROSKI;16
TORRALBA DE CALATRAVA;13160;AUTOVIA A-43 KM. 290;1305;1186;0;1042;CEPSA;16
TORRALBA DE CALATRAVA;13160;CALLE DEHESA DEL CAMPO, 5;1195;1074;0;0;ENERGIAS AF;16
TORRE DE JUAN ABAD;13344;CR CR-614, 25;1299;1175;0;1379;REPSOL;16
TORRENUEVA;13740;CARRETERA VALDEPEÑAS 139 KM. 139;1259;1139;799;1399;SEYBE;16
VALDEPEÑAS;13300;CARRETERA 601 KM. 0,700;1279;1139;0;1339;E.S LAGUNA;16
VALDEPEÑAS;13300;CALLE SUIZA, 1;0;1049;0;0;ENTRECAMINOS;16
VALDEPEÑAS;13300;AVENIDA DE LOS ESTUDIANTES, 70;1197;1057;0;0;PETROLOWCOST;16
VALDEPEÑAS;13300;CARRETERA N - IV KM. 210;1279;1139;0;0;ESAP LA PARÁ ROCIERA;16
VALDEPEÑAS;13300;AUTOVIA A-4 KM. 198,7;1335;1175;0;1449;CEPSA;16
VALDEPEÑAS;13300;A-4 km 198,7;1335;1175;0;1449;CEPSA;16
VALDEPEÑAS;13300;CTRA. N-IV, P.K. 210;1299;1159;0;1409;GALP;16
VALDEPEÑAS;13300;AVENIDA DEL SUR, S/N;1285;1135;0;1425;SARAS ENERGIA ;16
VALDEPEÑAS;13300;AUTOVIA  A-4 km 191,536;1309;1179;0;1439;SHELL;16
VALDEPEÑAS;13300;CR CM-412, 84,8;1299;1179;824;1379;REPSOL;16
VALDEPEÑAS;13300;AVENIDA DEL VINO, SN;1239;1079;0;1309;SIMPLY;16
VALDEPEÑAS;13300;AUTOVIA A-4 KM. 193,6;1325;1189;888;1044;CEPSA;16
VALDEPEÑAS;13300;CL SEIS DE JUNIO, 247;1305;1195;824;1385;REPSOL;16
CONSOLACION;13310;AUTOVIA ANDALUCIA KM. 185;1315;1195;844;1355;REPSOL;16
VILLAHERMOSA;13332;AVENIDA CASTILLA LA MANCHA, 11;1199;1099;699;0;CHM;16
VILLANUEVA DE LA FUENTE;13330;CM 412 km 154.8;1189;1089;789;0;LIBRE;16
VILLANUEVA LOS INFANTES;13320;CALLE PIOXII, 93;1027;1015;800;1039;REPSOL;16
VILLANUEVA LOS INFANTES;13320;CR CR-604, 1,4;1295;1169;824;1345;CAMPSA;16
VILLANUEVA LOS INFANTES;13320;CALLE GUARDIA CIVIL, S/N;1016;1065;660;0;NTRA. SRA. ANTIGUA;16
VILLANUEVA DE SAN CARLOS;13379;CR CR-504, 18,2;1299;1159;808;0;PETRONOR;16
VILLARRUBIA DE LOS OJOS;13670;PASEO DEL CORDON 104 (CM 4120 km 16,700);1269;1139;699;1409;VILLA RUBEUM,S.L.;16
VILLARRUBIA DE LOS OJOS;13670;CARRETERA CR-201 KM. 17;0;1009;689;0;EL RUBIAL SOC. COOP.;16
VILLARRUBIA DE LOS OJOS;13670;CARRETERA CARRETERA DE FUENTE EL FRESNO KM 15 KM. 15;1289;1159;709;0;AVIA;16
VILLARTA DE SAN JUAN;13210;CALLE CERVANTES, 104;1299;1179;834;1363;REPSOL;16
VILLARTA DE SAN JUAN;13210;AUTOVIA A-4 KM. 145,330;1299;1169;0;1419;TARAY;16
VILLARTA DE SAN JUAN;13210;CERVANTES, 96;0;1005;640;0;NINGUNO;16
VISO DEL MARQUES;13770;AVENIDA DE BURJASOT, S/N;0;1125;669;0;VIRGEN DEL VALLE;16
VISO DEL MARQUES;13770;CARRETERA CM-4111 KM. 64;1299;1179;813;0;REPSOL;16
ABENOJAR;13180;CTRA.CM-4.110 km 26,000;1297;1173;796;1437;GALP;12
AGUDO;13410;CR N-502, 32,8;1259;1149;0;0;PETRONOR;12
ALAMILLO;13413;AVDA. LIBERTAD, S/N (CM-4202 km 8);0;1149;0;0;MARIO;12
ALAMEDA DE CERVERA;13690;ESTRADA CM-42, 106/108;1289;1165;804;0;CEPSA;12
CINCO CASAS;13720;CARRETERA ARGAMASILLA DE ALBA-CINCO CASAS KM. 17;1219;1099;689;0;CERFAS-OIL;12
ALCAZAR DE SAN JUAN;13600;CARRETERA N-420 KM. 284,227;1259;1109;0;1339;CARREFOUR;12
ALCAZAR DE SAN JUAN;13600;VÍA PG RESID ALCES, 1;1249;1085;0;0;MACMAOIL;12
ALCAZAR DE SAN JUAN;13600;CALLE ALAMEDA, 5;1188;1038;0;0;U.S. LA LUNA;12
ALCAZAR DE SAN JUAN;13600;CTRA. N-420 km 286.6;1299;1155;804;1409;CEPSA;12
ALCAZAR DE SAN JUAN;13600;CL AVENIDA DE HERENCIA S.N.;1305;1179;0;0;CAMPSA;12
ALCAZAR DE SAN JUAN;13600;CR N-420, 284,7;1305;1179;804;1375;REPSOL;12
ALCOLEA DE CALATRAVA;13107;CARRETERA N-430 KM. 290;1259;1159;0;0;LIBRE;12
ALCUBILLAS;13391;CALLE REAL, S/N;1289;1169;799;0;CEPSA;12
ALDEA DEL REY;13380;CARRETERA ARGAMASILLA-ALMURADIEL KM. 23,2;1279;1169;0;1419;REPSOL;12
ALMADEN;13400;POLIGONO POZO DE LAS NIEVES, 12;1299;1169;0;1405;HGOIL;12
ALMADEN;13400;AVENIDA RAMON Y CAJAL, 61;1299;1174;796;1414;CEPSA;12
ALMAGRO;13270;CL RONDA SANTO DOMINGO, 3;1305;1189;0;0;REPSOL;12
ALMAGRO;13270;CALLE EJIDO DE SAN JUAN, 0;1289;1179;0;1404;CEPSA;12
ALMEDINA;13328;CARRETERA PUEBLA DEL PRINCIPE KM. 1;1179;1002;659;0;E.S. SAN GREGORIO;12
ALMODOVAR DEL CAMPO;13580;CARRETERA CM 4110 KM. 6;1299;1179;0;1379;REPSOL;12
ALMURADIEL;13760;AUTOVIA N-IV KM. 232;1319;1195;834;1359;REPSOL;12
ALMURADIEL;13760;AUTOVIA N-4 KM. 232;1319;1195;834;1359;REPSOL;12
ARENALES DE SAN GREGORIO;13610;POLIGONO RIO CORCOLES PARCELA 1.1, S/N;1299;1179;0;0;LOPEZ SIERRA EE.SS;12
ARENAS DE SAN JUAN;13679;N-420 km 252,1;1299;1179;0;0;REPSOL;12
ARGAMASILLA DE ALBA;13710;CARRETERA NACIONAL 310, KM. 82,500;1305;1169;0;1355;REPSOL;12
ARGAMASILLA DE ALBA;13710;CR N-310, 85,1 (N-310 km 85,18);1305;1169;804;1355;REPSOL;12
ARGAMASILLA DE CALATRAVA;13440;CARRETERA CR-506 KM. 3,300;1315;1179;0;1395;REPSOL;12
ARGAMASILLA DE CALATRAVA;13440;POLIGONO MANZANARES, 6;1239;1079;0;0;GASOLEOSJUCO;12
BOLAÑOS DE CALATRAVA;13260;CARRETERA DAIMIEL KM. 23;1289;1179;809;0;CEPSA;12
BOLAÑOS DE CALATRAVA;13260;CARDENAL CISNEROS, S/N;1229;1109;655;1429;CARBURANTES BOLAÑOS S.L.;12
BOLAÑOS DE CALATRAVA;13260;CARRETERA CM 4124 KM. 25,7;1229;1129;0;0;E.S.MAZ;12
BOLAÑOS DE CALATRAVA;13260;CALLE CTRA. C-417, PK. KM 17,, 17;1259;1149;0;1429;SARAS;12
BRAZATORTAS;13450;CR N-420 141,9;1305;1179;0;1369;REPSOL;12
BRAZATORTAS;13450;CARRETERA CABEZARRUBIAS KM. 1;1239;1109;699;0;UNIDAD DE SERVICIO;12
BRAZATORTAS;13450;CARRETERA NACIONAL 420 KM. 143,700;1299;1169;0;1439;GALP LA JUNQUERA;12
CALZADA DE CALATRAVA;13370;CARRETERA C-410 km 31.092;1259;1149;719;1389;P G E HIJOS;12
CAMPO DE CRIPTANA;13610;CONCEPCION, 135 (CTRA. N-420);0;1069;649;0;BODEGAS SIMBOLO, SDAD. COOP. DE C-LM NTRA. SRA. DE CRIPTANA;12
CAMPO DE CRIPTANA;13610;CARRETERA NACIONAL 420 KM. 292,700;1299;1159;0;1385;GALP DISTRIBUCION OIL ESPAÑA, S.A.U.;12
CAMPO DE CRIPTANA;13610;CARRETERA N-420 KM. 295;1299;1159;680;1419;COMBUSTIBLES CRIPTANA,SL;12
CAMPO DE CRIPTANA;13610;AVENIDA DE LA HISPANIDAD, 10;1299;1159;0;1419;PETRONOR;12
CAMPO DE CRIPTANA;13610;CALLE MOTA, 2;0;1059;0;0;TRAVESA;12
CAMPO DE CRIPTANA;13610;CR N-420, 296;1305;1169;0;0;REPSOL;12
CARRION DE CALATRAVA;13150;CARRETERA CARRION A FERNANCABALLERO km 0.5;0;1059;655;0;MONTES NORTE ENERGETICOS, S.L.;12
CARRION DE CALATRAVA;13150;CARRETERA NACIONAL 430 KM. 317;1309;1189;0;1389;REPSOL;12
CARRIZOSA;13329;CR CM-3129, 7 (CM-3129 km 11,6);1299;1169;804;1349;PETRONOR;12
CASTELLAR DE SANTIAGO;13750;CALLE BAILEN, 2;1305;1195;824;0;REPSOL;12
CHILLON;13412;CARRETERA ALMADEN-CHILLON KM. ;1299;1169;795;0;HGOIL;12
CIUDAD REAL;13004;AVENIDA EUROPA, 45;1018;1005;0;1027;EROSKI;12
CIUDAD REAL;13005;PG P.I. LARACHE,PARC.93, S.N.;1289;1165;0;1429;REPSOL;12
CIUDAD REAL;13005;CALLE TORRENUEVA, 1;1018;1005;0;0;PETRONIEVES;12
CIUDAD REAL;13002;AVENIDA PARQUE DE CABAÑEROS, S/N;1269;1149;0;1409;GALP;12
CIUDAD REAL;13005;CARRETERA N-430 KM KM. 305,1;1289;1169;0;1399;CEPSA;12
CIUDAD REAL;13005;CARRETERA NACIONAL 430 KM. 309,900;1279;1165;0;1459;SHELL CARRION;12
CIUDAD REAL;13003;CALLE RONDA DE TOLEDO, 21;1249;1129;0;1427;SHELL;12
CIUDAD REAL;13197;CARRETERA CTRA PUERTOLLANO KM 195 KM. ;1259;1139;0;1437;SHELL;12
CIUDAD REAL;13002;CARRETERA DE PORZUNA KM. ;1018;1005;0;1027;E.LECLERC;12
CIUDAD REAL;13005;CR CR-514, 0,3;1305;1179;0;1385;REPSOL;12
CIUDAD REAL;13005;CARRETERA N-430 KM. 304,42;1305;1179;0;1385;REPSOL;12
CIUDAD REAL;13003;RONDA PUERTA DE TOLEDO, 5;1305;1179;0;0;REPSOL;12
CIUDAD REAL;13004;CALLE RONDA DE LA MATA, S/N;1305;1179;0;1385;REPSOL;12
CIUDAD REAL;13005;CR N-401, 183,6;1305;1179;0;1385;REPSOL;12
CIUDAD REAL;13002;RONDA DE ALARCOS, 21;1305;1179;0;1385;REPSOL;12
CIUDAD REAL;13005;CARRETERA N-430 KM. 309,2;1286;1179;0;1401;CEPSA;12
CORRAL DE CALATRAVA;13190;CARRETERA N-420 KM. 180;1299;1179;0;1379;REPSOL;12
CORTIJOS DE ARRIBA;13427;AVDA. DE LA LOMA, Nº 22;1269;1159;780;0;LA LOMA;12
DAIMIEL;13250;CARRETERA N-420 KM KM. 231;1209;1079;0;0;WETROAD;12
DAIMIEL;13250;CALLE CARRETEROS, 1;0;1059;0;0;GRUPO TRANSLOGISTICA;12
DAIMIEL;13250;NACIONAL 420 km 236;1299;1179;0;0;ESTACION DE SERVICIOS DAIMIEL S.L.;12
DAIMIEL;13250;CALLE HERREROS, 1;0;1065;665;0;COOP. LOS POZOS;12
DAIMIEL;13250;AVENIDA DE LA ENERGIA, 1;1289;1185;0;1409;REPSOL;12
DAIMIEL;13250;CALLE BODEGUEROS, PARCELA, 48;0;1079;0;0;GRUPO LOGISTICO CODAITRANS;12
DAIMIEL;13250;CARRETERA NACIONAL 430 KM. 269,9;1305;1199;814;0;REPSOL;12
DAIMIEL;13250;CALLE TIBURCIO, 98;1305;1209;814;1365;REPSOL;12
DAIMIEL;13250;CARRETERA CM.4114 KM. 50;1288;1184;819;0;FERSA COMBUSTIBLES, S.L.;12
FUENCALIENTE;13130;CARRETERA N-420 KM. 103,3;1299;1179;0;0;CEPSA;12
FUENTE EL FRESNO;13680;AVENIDA DE LA PROVINCIA, 78;1249;1129;689;0;CARBURANTES QUEVEDO;12
GRANATULA DE CALATRAVA;13360;CALLE ALMAGRO, 3;0;1010;685;0;SOCIEDAD COOPERATIVA AGRARIA EL SANTO CRISTO S. COOP. DE C-LM;12
HERENCIA;13640;420 km 275;1305;1179;804;1375;PETRONOR;12
HERENCIA;13640;AUTOVIA A-4 KM. 153,350;1319;1195;0;1359;REPSOL;12
HORCAJO DE LOS MONTES;13110;CARRETERA CIUDAD REAL KM. 49,200;1289;1169;829;1439;REPSOL;12
LLANOS DEL CAUDILLO;13220;POZOS S/N;0;0;670;0;COOP. LOS LLANOS;12
LUCIANA;13108;CARRETERA N-430, KM. 268,6;1279;1169;799;0;REPSOL;12
MALAGON;13429;CR N-401, 165;1285;1199;803;1349;REPSOL;12
MALAGON;13420;AVENIDA FUNDADORES COOPERATIVA, 69;1017;1059;655;0;MONTES NORTE ENERGETICOS, S.L.;12
MALAGON;13420;CALLE MADRID, 18;1016;1048;0;0;CARBURANTES SEAL;12
MALAGON;13420;CALLE CERVANTES, 23;1233;1119;736;1348;CEPSA;12
MANZANARES;13200;AUTOVIA DE ANDALUCIA KM. 173;1305;1179;809;1405;REPSOL;12
MANZANARES;13200;CALLE INDUSTRIAL D, 3;1249;1129;689;0;JESÚS DEL PERDÓN BODEGAS YUNTERO S. COOP. DE C-LM;12
MANZANARES;13200;CL PASEO CRISTOBAL COLON S.N.;1269;1165;0;0;CAMPSA;12
MANZANARES;13200;CARRETERA N-4 KM. 171,1;1319;1195;0;1359;REPSOL;12
MANZANARES;13200;AUTOVIA A-4 KM. 167;1319;1195;821;0;REPSOL;12
MANZANARES;13200;AUTOVIA A-4 KM. 162;1319;1195;805;0;REPSOL;12
MANZANARES;13200;CALLE CTRA LA SOLANA, 56;1289;1179;804;1349;REPSOL;12
MANZANARES;13200;CARRETERA ANTIGUA N-430 ESQ. CTRA. VILLARRUIBA KM. S/N;1239;1129;0;1359;SARAS ENERGIA ;12
MANZANARES;13200;CARRETERA CRTA.CR-141 KM 3,70 KM. 3,70;1269;1165;814;1389;REPSOL;12
MANZANARES;13200;PLAZA DEL GRAN TEATRO, S/N;1286;0;0;0;CEPSA;12
MEMBRILLA;13230;CARRETERA NACIONAL 430 KM 368 KM. 368;1279;1169;814;1389;REPSOL;12
MEMBRILLA;13230;N-430 km 367,1;1249;1135;804;1369;SARAS;12
MEMBRILLA;13230;CARRETERA NACIONAL 430 KM. 371,100;1219;1105;0;0;GRUPO CACHO;12
MEMBRILLA;13230;AUTOVIA CARRETERA GENERAL DE ANDALUCIA KM. 178,800;1309;1179;0;1424;CEPSA;12
MEMBRILLA;13230;CARRETERA N-430 KM. 366,275;1279;1174;796;1394;CEPSA;12
MIGUELTURRA;13170;CARRETERA VALDEPEÑAS KM. 12;1179;1049;0;0;PETROGOOD;12
MIGUELTURRA;13170;CARRETERA CM-4127 KM. 2,350;1279;1174;0;1394;CEPSA;12
MIGUELTURRA;13170;CARRETERA CTRA VALDEPEÑAS-CIUDAD REAL KM. 4700;1289;1179;0;1404;CEPSA;12
MONTIEL;13326;CARRETERA CM 3127 km 12.600;1195;1079;700;0;EE.SS VALLE PIQUERAS;12
MONTIEL;13326;CARRERA VILLANUEVA DE LOS INFANTES, S/N;1018;1045;635;0;CASTILLO DE MONTIEL;12
MORAL DE CALATRAVA;13350;CARRETERA CM-412 KM. 69,92;1305;1185;814;1365;CAMPSA;12
PEDRO MUÑOZ;13620;AVENIDA DE LA CONSTITUCION, 46;1305;1179;804;1385;REPSOL;12
PEDRO MUÑOZ;13620;AVENIDA CONSTITUCION, 20;1309;1179;0;0;CEPSA;12
PEDRO MUÑOZ;13620;CARRETERA PEDRO MUÑOZ A SOCUELLAMOS KM. 1;0;101;640;0;SUMNISTROS AGRICOLAS DE PEDRO MUÑOZ S. COOP. DE C-LM;12
PEDRO MUÑOZ;13620;AVENIDA JUAN CARLOS I, 99;1297;1156;802;0;BP OIL ESPAÑA;12
PIEDRABUENA;13100;CARRETERA 7211 KM. 0,200;1209;1079;0;0;GP ENERGIA;12
PIEDRABUENA;13100;CARRETERA NACIONAL 430 KM. 219,7;1279;1169;0;0;CEPSA;12
PORZUNA;13120;CALLE TOLEDO,, 50;1305;1179;804;1385;REPSOL;12
POZUELO DE CALATRAVA;13179;CARRETERA CM-412 KM. 11;1279;1174;690;1038;CEPSA;12
PUEBLA DE DON RODRIGO;13109;CALLE CUATRO ESQUINAS ESQUINA LUIS SEVILLA, S/N;0;1059;655;0;MONTES NORTE ENERGETICOS, S.L.;12
PUEBLA DE DON RODRIGO;13109;CL AVENIDA CASTILLA-LA MANCHA, 1 (N-430 km 230);1305;1179;808;1365;CAMPSA;12
PUERTO LAPICE;13650;CR N-4, 134,8;1319;1195;0;1359;REPSOL;12
PUERTO LAPICE;13650;AUTOVIA N-IV KM. 140,7;1299;1169;0;1419;GALP;12
PUERTO LAPICE;13650;AUTOVIA N-IV KM. 140,5;1299;1169;0;1419;GALP;12
PUERTOLLANO;13500;CARRETERA N420 KM. 160,500;1305;1179;0;1385;REPSOL;12
PUERTOLLANO;13500;CALLE ASDRUBAL, 68;1305;1179;0;1385;REPSOL;12
PUERTOLLANO;13500;CARRETERA CR-503 KM. 3,2;1305;1179;0;1385;REPSOL;12
PUERTOLLANO;13500;CR N-420, 160;1305;1179;0;1385;REPSOL;12
PUERTOLLANO;13500;CARRETERA NACIONAL 420 KM. 160;1279;1109;0;0;CARREFOUR;12
PUERTOLLANO;13500;CARRETERA ALMODOVAR KM. 1,500;1219;1069;0;0;CARBURANTES BLUE;12
PUERTOLLANO;13500;AVENIDA ANDALUCIA, S/N;1189;1039;0;1259;E.LECLERC;12
PUERTOLLANO;13500;CARRETERA VARIANTE PUERTOLLANO-REPSOL KM. 11;0;1169;0;0;REPSOL;12
ROBLEDO (EL);13114;CR CR-722, 11,7;1269;1149;789;1389;PETRONOR;12
RUIDERA;13249;AVENIDA CASTILLA LA MANCHA, 59;1259;1159;0;0;REPSOL;12
SACERUELA;13414;CALLE ARENAL, S/N;1305;1179;802;1365;REPSOL;12
SANTA CRUZ DE MUDELA;13730;CARRETERA N- 4 KM. 216,9;1319;1195;834;0;REPSOL;12
SANTA CRUZ DE MUDELA;13730;CARRETERA N 4 KM. 216,9;1319;1195;834;1359;REPSOL;12
